あなたが出品者・ショップをフォローする理由や、フォローした出品者・ショップを確認する目的について、できるだけ詳しくお書きください。（任意回答）,あなたは、ビデオ通話に参加するために必要なWebカメラやマイクをお持ちですか。※ パソコンに内蔵されているものも含みます,Buyer segment,あなたの職業として当てはまるものを一つだけお選びください。※職業が複数ある方は、主な収入源となっている職業をお選びください,お客さまインタビューへの参加が可能な日時をできるだけ選択してください。※インタビューへのご参加をお願いする場合、こちらの回答を参考にスケジュールを調整させていただきます,Follow segment,メルカリで検索条件を保存する機能やフォロー機能について、あなたのお買い物における重要度として最も当てはまるものをそれぞれお選びください。,YouTubeの登録チャンネルタブ（自分がフォローしているチャンネルの新着一覧などが表示されている画面）を見る頻度として最も当てはまるものを一つお選びください。,あなたが「いいね！」タブ（※）を見る頻度として、最も当てはまるものを一つお選びください。※「いいね！」タブとは、メルカリアプリ左下の「いいね！」ボタンをタップした時に出てくる画面（画像参照）のことを指します。,メルカリで検索条件を保存する機能やフォロー機能について、あなたのお買い物における利用状況として最も当てはまるものをそれぞれお選びください。,今までに、フォローしている出品者からフォロー後に商品を購入したことは何回ありますか。最も当てはまるものを一つお選びください。,あなたの年代をお選びください。,あなたの性別をお選びください。,あなたがお住まいの都道府県をお選びください。,インタビューの中で、途中あなたのスマートフォンからメルカリアプリの画面と操作のご様子を画面共有いただきながらお話を伺うことは可能ですか。,フォロー機能を前問で回答した目的で利用する頻度として、当てはまるものをそれぞれ一つお選びください。,この度の調査では後日、「Google Meet」を利用し、ビデオ通話にてインタビューをさせていただく可能性があります。あなたは、ビデオ通話でのインタビューにご参加いただくことは可能ですか？,respondent_id,上記以外の日程のインタビュー実施時に、日程調整のご連絡をしてよろしいですか？
その他,持っている,4.Buyer Light,専業主婦・主夫,,3.Follow Middle (18-34),ある程度重要である,,その他,現在利用している,フォローしている出品者から購入したのは、これまでに1回だけである,40代,女性,東京都,はい,,はい,119076310222.0,はい
その他,持っている,1.Buyer Super heavy,パート・アルバイト,10:00-11:00,1.Follow Super Heavy (80+),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,40代,女性,その他,はい,ときどきある,はい,119076300802.0,はい
その他,持っている,1.Buyer Super heavy,会社員（正社員）,,3.Follow Middle (18-34),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から合計5回以上購入している,50代,男性,その他,はい,,はい,119076306156.0,はい
その他,持っている,2.Buyer Heavy,その他,,1.Follow Super Heavy (80+),ある程度重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,50代,女性,千葉県,はい,,はい,119076306588.0,はい
その他,持っている,4.Buyer Light,自営業・フリーランス,,1.Follow Super Heavy (80+),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている出品者から購入したのは、これまでに1回だけである,30代,女性,東京都,はい,ときどきある,はい,119076301305.0,はい
その他,持っている,1.Buyer Super heavy,会社員（正社員）,,1.Follow Super Heavy (80+),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,40代,男性,大阪府,はい,非常によくある,はい,119076302147.0,はい
その他,持っている,4.Buyer Light,その他,10:00-11:00,4.Follow Light (1-17),ある程度重要である,,"2,3日に1回くらい見る",現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,30代,男性,その他,はい,非常によくある,はい,119076300081.0,はい
,持っている,4.Buyer Light,自営業・フリーランス,,3.Follow Middle (18-34),,,"2,3日に1回くらい見る",その他,,30代,男性,その他,いいえ,,はい,119076301263.0,はい
その他,持っている,4.Buyer Light,会社員（正社員）,,2.Follow Heavy (35-79),ある程度重要である,,1日に1回以上見る,現在利用している,フォローしている出品者から購入経験が複数回あるが、同じ人から2回以上購入したことはない,30代,女性,神奈川県,はい,,はい,119076299811.0,はい
その他,持っている,2.Buyer Heavy,その他,,4.Follow Light (1-17),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている出品者から購入経験が複数回あるが、同じ人から2回以上購入したことはない,30代,女性,その他,はい,,はい,119076288917.0,はい
その他,持っている,4.Buyer Light,その他,10:00-11:00,3.Follow Middle (18-34),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている出品者から購入したのは、これまでに1回だけである,その他,女性,その他,はい,,はい,119075664432.0,はい
その他,持っている,3.Buyer Middle,自営業・フリーランス,10:00-11:00,3.Follow Middle (18-34),どちらでもない,,"2,3日に1回くらい見る",過去に利用していたが現在は使っていない,フォローしている同じ出品者から、これまでに合計2〜4回購入している,30代,女性,愛知県,はい,,はい,119076294448.0,はい
その他,持っている,3.Buyer Middle,会社員（正社員）,,3.Follow Middle (18-34),どちらでもない,,1日に1回以上見る,現在利用している,フォローしている出品者から購入したのは、これまでに1回だけである,50代,男性,その他,はい,,はい,119076289978.0,はい
その他,持っている,4.Buyer Light,会社員（正社員）,,3.Follow Middle (18-34),非常に重要である,その他,1週間に1回くらい見る,現在利用している,フォローしている出品者から商品を購入したことはない,30代,男性,東京都,はい,,はい,119076286845.0,はい
その他,持っている,1.Buyer Super heavy,会社員（正社員）,,1.Follow Super Heavy (80+),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,40代,男性,東京都,はい,非常によくある,はい,119076283661.0,はい
その他,持っていない,4.Buyer Light,パート・アルバイト,,4.Follow Light (1-17),ある程度重要である,,その他,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,40代,女性,東京都,はい,ときどきある,はい,119076282490.0,はい
,持っている,4.Buyer Light,その他,,3.Follow Middle (18-34),,1日に1回以上見る,1日に1回以上見る,その他,,60代,男性,大阪府,はい,,はい,119076282446.0,はい
その他,持っている,2.Buyer Heavy,会社員（正社員）,10:00-11:00,3.Follow Middle (18-34),ある程度重要である,,1日に1回以上見る,現在利用している,フォローしている出品者から購入したのは、これまでに1回だけである,40代,女性,その他,はい,,はい,119076228130.0,はい
その他,持っている,4.Buyer Light,その他,,3.Follow Middle (18-34),ある程度重要である,,1日に1回以上見る,現在利用している,フォローしている出品者から購入経験が複数回あるが、同じ人から2回以上購入したことはない,40代,女性,その他,いいえ,,はい,119076275064.0,はい
その他,持っている,1.Buyer Super heavy,専業主婦・主夫,,2.Follow Heavy (35-79),ある程度重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,60代,女性,その他,はい,非常によくある,はい,119076273266.0,はい
その他,持っている,4.Buyer Light,専業主婦・主夫,,3.Follow Middle (18-34),非常に重要である,,1週間に1回くらい見る,現在利用している,フォローしている出品者から購入したのは、これまでに1回だけである,60代,女性,東京都,はい,,はい,119076275016.0,はい
その他,持っている,4.Buyer Light,その他,10:00-11:00,3.Follow Middle (18-34),非常に重要である,,"2,3日に1回くらい見る",現在利用している,フォローしている出品者から購入経験が複数回あるが、同じ人から2回以上購入したことはない,50代,男性,その他,はい,たまにある,はい,119076272296.0,はい
その他,持っている,2.Buyer Heavy,専業主婦・主夫,10:00-11:00,3.Follow Middle (18-34),ある程度重要である,,"2,3日に1回くらい見る",現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,60代,女性,その他,はい,たまにある,はい,119076272162.0,はい
その他,持っている,4.Buyer Light,専業主婦・主夫,,4.Follow Light (1-17),どちらでもない,,その他,その他,フォローしている出品者から購入経験が複数回あるが、同じ人から2回以上購入したことはない,40代,女性,その他,はい,,はい,119076272046.0,はい
その他,持っている,2.Buyer Heavy,自営業・フリーランス,,2.Follow Heavy (35-79),ある程度重要である,,1日に1回以上見る,現在利用している,フォローしている出品者から購入経験が複数回あるが、同じ人から2回以上購入したことはない,40代,女性,東京都,はい,たまにある,はい,119076268751.0,はい
,持っている,2.Buyer Heavy,自営業・フリーランス,,3.Follow Middle (18-34),非常に重要である,,1日に1回以上見る,現在利用している,,50代,男性,その他,はい,,はい,119076267964.0,はい
その他,持っている,3.Buyer Middle,専業主婦・主夫,10:00-11:00,3.Follow Middle (18-34),非常に重要である,,1週間に1回くらい見る,現在利用している,フォローしている出品者から購入したのは、これまでに1回だけである,60代,女性,東京都,はい,,はい,119076270162.0,はい
その他,持っている,2.Buyer Heavy,自営業・フリーランス,,4.Follow Light (1-17),ある程度重要である,,"2,3日に1回くらい見る",現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,50代,女性,その他,はい,,はい,119076269762.0,はい
その他,持っている,4.Buyer Light,専業主婦・主夫,,1.Follow Super Heavy (80+),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,40代,女性,大阪府,はい,,はい,119076268882.0,はい
その他,持っている,2.Buyer Heavy,会社員（正社員）,,1.Follow Super Heavy (80+),ある程度重要である,1日に1回以上見る,1日に1回以上見る,現在利用している,フォローしている同じ出品者から合計5回以上購入している,30代,女性,その他,いいえ,非常によくある,はい,119076270424.0,はい
その他,持っている,1.Buyer Super heavy,会社員（正社員）,,2.Follow Heavy (35-79),ある程度重要である,,"2,3日に1回くらい見る",現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,40代,男性,千葉県,はい,非常によくある,はい,119076269274.0,はい
その他,持っていない,4.Buyer Light,会社員（正社員）,,3.Follow Middle (18-34),非常に重要である,1日に1回以上見る,1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,その他,男性,東京都,はい,非常によくある,はい,119076263481.0,はい
その他,持っている,4.Buyer Light,パート・アルバイト,10:00-11:00,3.Follow Middle (18-34),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,50代,女性,その他,はい,非常によくある,はい,119076228487.0,はい
その他,持っている,4.Buyer Light,会社員（正社員）,,4.Follow Light (1-17),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,50代,男性,その他,はい,,はい,119076263432.0,はい
その他,持っている,4.Buyer Light,会社員（正社員）,,2.Follow Heavy (35-79),ある程度重要である,1日に1回以上見る,"2,3日に1回くらい見る",現在利用している,フォローしている同じ出品者から合計5回以上購入している,20代,男性,東京都,はい,非常によくある,はい,119076265948.0,はい
その他,持っている,2.Buyer Heavy,その他,,3.Follow Middle (18-34),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から合計5回以上購入している,60代,女性,大阪府,はい,非常によくある,はい,119076254021.0,はい
その他,持っている,4.Buyer Light,会社員（正社員）,10:00-11:00,2.Follow Heavy (35-79),ある程度重要である,,1週間に1回くらい見る,現在利用している,フォローしている出品者から商品を購入したことはない,30代,その他,その他,はい,ときどきある,はい,119076266444.0,はい
その他,持っている,4.Buyer Light,会社員（正社員）,,4.Follow Light (1-17),非常に重要である,,1週間に1回くらい見る,現在利用している,フォローしている出品者から購入経験が複数回あるが、同じ人から2回以上購入したことはない,30代,女性,神奈川県,はい,,はい,119076262736.0,はい
,持っている,4.Buyer Light,専業主婦・主夫,10:00-11:00,3.Follow Middle (18-34),,,1日に1回以上見る,その他,,30代,女性,愛知県,はい,,はい,119076265871.0,はい
その他,持っている,3.Buyer Middle,自営業・フリーランス,10:00-11:00,3.Follow Middle (18-34),ある程度重要である,,1週間に1回くらい見る,現在利用している,フォローしている出品者から商品を購入したことはない,50代,男性,その他,はい,,はい,119076261868.0,はい
その他,持っている,4.Buyer Light,専業主婦・主夫,10:00-11:00,2.Follow Heavy (35-79),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,40代,女性,千葉県,はい,,はい,119076258748.0,はい
